"Phy","introduced","native","num_introduced","total_area_introduced","total_area_native","lat_native","tribe","genus","subfamily","tribe_ncbi","fixer","abs_lat_native","woody","annual","uses_num_uses","submitted_name","matched_name","data_source_title","score","num_words","diff","RangeY","domY","efnY","n.records","sum.AM","sum.EM","AM","EM","EFN","matched_name_EFN","Domatia","Count"
"Aspalathus chenopoda",0,1,0,0,2.67e+12,-25.48651667,"Crotalarieae","Aspalathus","Papilionoideae","Crotalarieae",1,25.48651667,1,0,0,"Aspalathus chenopoda","Aspalathus chenopoda","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,333
"Aspalathus chortophila",0,1,0,0,2.67e+12,-25.48651667,"Crotalarieae","Aspalathus","Papilionoideae","Crotalarieae",1,25.48651667,1,0,0,"Aspalathus chortophila","Aspalathus chortophila","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,343
"Aspalathus ciliaris",0,1,0,0,2.67e+12,-25.48651667,"Crotalarieae","Aspalathus","Papilionoideae","Crotalarieae",1,25.48651667,1,0,0,"Aspalathus ciliaris","Aspalathus ciliaris","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,904
"Aspalathus cinerascens",0,1,0,0,2.67e+12,-25.48651667,"Crotalarieae","Aspalathus","Papilionoideae","Crotalarieae",1,25.48651667,1,0,1,"Aspalathus cinerascens","Aspalathus cinerascens","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,545
"Aspalathus commutata",0,1,0,0,2.67e+12,-25.48651667,"Crotalarieae","Aspalathus","Papilionoideae","Crotalarieae",1,25.48651667,1,0,0,"Aspalathus commutata","Aspalathus commutata","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,389
"Aspalathus confusa",0,1,0,0,2.67e+12,-25.48651667,"Crotalarieae","Aspalathus","Papilionoideae","Crotalarieae",1,25.48651667,1,0,0,"Aspalathus confusa","Aspalathus confusa","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,862
"Aspalathus cordata",0,1,0,0,2.67e+12,-25.48651667,"Crotalarieae","Aspalathus","Papilionoideae","Crotalarieae",1,25.48651667,1,0,0,"Aspalathus cordata","Aspalathus cordata","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,1,1,0,"Y","N",0,NA,0,1866
"Aspalathus crassisepala",0,1,0,0,2.67e+12,-25.48651667,"Crotalarieae","Aspalathus","Papilionoideae","Crotalarieae",1,25.48651667,1,0,0,"Aspalathus crassisepala","Aspalathus crassisepala","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,335
"Aspalathus crenata",0,1,0,0,2.67e+12,-25.48651667,"Crotalarieae","Aspalathus","Papilionoideae","Crotalarieae",1,25.48651667,1,0,0,"Aspalathus crenata","Aspalathus crenata","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,1412
"Aspalathus divaricata",0,1,0,0,2.67e+12,-25.48651667,"Crotalarieae","Aspalathus","Papilionoideae","Crotalarieae",1,25.48651667,1,0,0,"Aspalathus divaricata","Aspalathus divaricata","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,1,0,0,"N","N",0,NA,0,1088
"Aspalathus ericifolia",0,1,0,0,2.67e+12,-25.48651667,"Crotalarieae","Aspalathus","Papilionoideae","Crotalarieae",1,25.48651667,1,0,0,"Aspalathus ericifolia","Aspalathus ericifolia","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,374
"Aspalathus flexuosa",0,1,0,0,2.67e+12,-25.48651667,"Crotalarieae","Aspalathus","Papilionoideae","Crotalarieae",1,25.48651667,1,0,0,"Aspalathus flexuosa","Aspalathus flexuosa","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,1,1,0,"Y","N",0,NA,0,1200
"Aspalathus forbesii",0,1,0,0,2.67e+12,-25.48651667,"Crotalarieae","Aspalathus","Papilionoideae","Crotalarieae",1,25.48651667,1,0,0,"Aspalathus forbesii","Aspalathus forbesii","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,507
"Aspalathus frankenioides",0,1,0,0,2.67e+12,-25.48651667,"Crotalarieae","Aspalathus","Papilionoideae","Crotalarieae",1,25.48651667,1,0,0,"Aspalathus frankenioides","Aspalathus frankenioides","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,328
