species,n,precip_maxquant,precip_minquant,precip_mean,precip_median,nitro_maxquant,nitro_minquant,nitro_mean,nitro_median,temp_maxquant,temp_minquant,temp_mean,temp_median,max_lat,min_lat,mean_lat,median_lat,median_long,quant95,quant005,num_biome,biome,precip_range,temp_range,nitro_range,genus,fixer,woody,annual,uses_num_uses,Domatia,EFN
Astragalus_trichopodus,927,504,186,364.1553398058253,371,288.69999999999993,99,178.0895361380798,171,17.94083328247072,13.93291673660276,16.3985616839305,16.6458339691162,37.744676,23.4272,33.35615816299892,33.911866,-118.20647,34.80842,30.373,4,12,318,4.00791654586796,189.69999999999993,Astragalus,1,1,0,0,0,0
Astragalus_uliginosus,445,785.9999999999998,341.20000000000005,528.6876404494383,507,532.8,249.2,367.4741573033708,353,4.649166679382323,-4.271666622161866,0.3335861446178942,0.658333241939545,66.430267,38.0733,51.57669937303371,52.334,110.001323,60.992691,42.86774,8,4,444.7999999999997,8.920833301544189,283.5999999999999,Astragalus,1,0,0,3,0,0
Astragalus_umbellatus,701,792,144,374.07132667617697,320,1131,324,654.0641940085594,628,-0.987500071525574,-14.9458332061768,-8.17054803753418,-7.90416669845581,76.942,51.2909,66.13327447717546,66.09,-140.823129,73.75,56.538,2,11,648,13.958333134651228,807,Astragalus,1,0,0,1,0,0
Astragalus_utahensis,530,562.55,228.45,418.1735849056604,430.5,316.54999999999995,98.45,215.96226415094347,221,10.931875085830704,3.48062492609024,8.015723258987911,8.454166412353516,45.1035972,37.575118,40.7909191045283,40.724590500000005,-111.9107845,42.82166115,38.62,2,13,334.09999999999997,7.451250159740464,218.09999999999997,Astragalus,1,0,0,0,0,0
Astragalus_vaginatus,71,708,312,545.3661971830986,573,497,289,383.4647887323944,375,2.93333339691162,-4.79166650772095,-0.14401408547246966,-0.0333332531154156,60.9884,49.764424,51.80211563380282,51.218,85.247,55.616150000000005,50.106512499999994,4,5,396,7.72499990463257,208,Astragalus,1,0,0,0,0,0
Astragalus_vexilliflexus,206,755.75,321.5,495.5,479,348.75,150.25,245.37378640776697,238.5,7.575000166893003,-0.7729166597127914,3.650182041244636,4.072916746139525,54.321389,42.82509,46.44621108689321,46.040963000000005,-110.9502785,49.99880475,44.062232825,3,5,434.25,8.347916826605793,198.5,Astragalus,1,0,0,0,0,0
Astragalus_whitneyi,696,1452.75,347,726.1537356321841,583.5,507.25,139.75,271.7715517241381,246.5,9.522916555404668,0.9593749642372134,4.977113264773427,4.7479166984558105,47.859891,34.734,40.96192005689655,41.274055,-119.9196615,46.217430500000006,37.54437525,4,5,1105.75,8.563541591167454,367.5,Astragalus,1,0,0,0,0,0
Astragalus_wootonii,408,557.65,235.7,385.0710784313725,374.5,206.29999999999995,50.7,112.25245098039215,103.5,20.0197910308838,9.090000247955324,15.589950972912357,16.006250381469748,37.04,18.803056,31.13669337965686,32.147204,-107.979521,35.5133425,20.1541132,5,13,321.95,10.929790782928473,155.59999999999997,Astragalus,1,0,0,0,0,0
Astragalus_zingeri,49,557,470,516.2857142857143,522,394.7999999999999,266.8,340.734693877551,340,5.817499923706055,3.16083335876465,4.326275509230944,4.40416669845581,55.182854,51.99207,53.62886204081633,53.699248,50.56464,54.5107508,52.164668,2,4,87,2.656666564941405,127.99999999999994,Astragalus,1,1,0,0,0,0
Ateleia_glazioveana,49,2188.5999999999995,1292.8,1735.530612244898,1747,350.79999999999995,153.60000000000002,261.81632653061223,266,21.69499969482418,16.954167175293,18.93809513169892,18.5874996185303,-11.5246,-30.051692,-25.255909918367347,-26.465278,-52.564167,-19.53666680000001,-28.1153334,2,1,895.7999999999995,4.740832519531178,197.19999999999993,Ateleia,1,1,0,0,0,0
Ateleia_gummifera,80,2129.4,1001.8,1353.8625,1259,626.3499999999999,186.6,335.9625,287.5,26.548125267028823,20.838124275207477,24.629427146911624,25.04375076293945,24.3992,7.95,19.84534775,19.565928,-82.08758,23.074381,16.85390045,5,1,1127.6,5.710000991821346,439.7499999999999,Ateleia,1,1,0,0,0,0
Baikiaea_insignis,143,2701.8,1109.6,1796.097902097902,1747,368.3,122.1,208.14685314685315,196,26.04541683197023,19.992499351501426,23.91719117864862,24.6166667938232,7.271248,-7.36185,-0.3601358391608393,-0.683333,13,5.164994,-5.5150003,3,1,1592.2,6.052917480468807,246.2,Baikiaea,0,1,0,2,0,0
Balsamocarpon_brevifolium,44,968.5500000000002,12.15,157.02272727272728,30.5,400.65,81.3,250.38636363636363,276,15.3374996185303,9.049791908264163,12.978598402305083,13.6500000953674,-27.054722,-39.3,-29.474554068181817,-28.6472585,-70.8168785,-27.57258805,-35.8033,3,12,956.4000000000002,6.287707710266135,319.34999999999997,Balsamocarpon,0,0.988764045,0,0,0,0
Baphia_laurifolia,165,2858.2,1608.8,2083.969696969697,1901,284.79999999999995,128.2,195.9393939393939,189,26.270000457763658,23.77416725158696,25.361691919962567,25.5041675567627,5.25,-6.25,0.33920562424242423,-0.29905,10.50843,4.9799666,-3,3,1,1249.4,2.495833206176698,156.59999999999997,Baphia,1,1,0,0,0,0
Baphia_massaiensis,331,1101,430.5,645.6858006042294,548,121,38,71.93655589123868,66,25.1708335876465,20.8083333969116,23.057036725415923,23.091667175293,-4.955833,-23.966667,-17.170039166163143,-18.22908,24.59394,-8.6833335,-21.2420165,5,7,670.5,4.362500190734899,83,Baphia,1,1,0,0,0,0
Baphia_maxima,38,2701.8,1599.15,1929.157894736842,1783.5,245.2,145.5,200.3684210526316,197,26.20854148864745,23.90104112625123,25.18651314785606,25.4124994277954,5.458333,-5.316667,0.009145868421052653,-0.514861,11.5833335,4.8789305999999995,-2.6853168999999997,2,1,1102.6500000000003,2.3075003623962225,99.7,Baphia,1,1,0,0,0,0
Baphia_pubescens,208,2638,1055.35,1647.625,1593,542.3999999999996,112.7,240.25961538461544,186.5,27.30125017166135,23.7010417938232,25.685056072015023,25.8583335876465,10.325278,-2.28,5.3013579903846155,6.105693499999999,-0.609028,7.510833549999999,-0.3753175499999988,3,1,1582.65,3.6002083778381504,429.6999999999997,Baphia,1,1,0,3,0,0
Baphiopsis_parviflora,99,2735.399999999999,1049.9,1684.5353535353536,1642,437.3999999999997,130.6,260.7373737373738,234,25.375,18.0729160308838,22.538089193478974,22.970832824707,5.383333,-7.464874,0.4079377878787879,0.333333,24.45,4.796499699999999,-5.3638333,2,1,1685.499999999999,7.3020839691162,306.7999999999997,Baphiopsis,0,1,0,0,0,0
Baptisia_alba,2440,1476,775,1043.4266393442615,969.5,649.0499999999997,99,279.20204918032744,223,19.754374027252233,6.98333358764648,11.983763673266427,10.762499809265153,46.205031,29.215109000000002,38.874995631557375,40.047450999999995,-89.25342,44.544687550000006,30.26986725,4,4,701,12.771040439605752,550.0499999999997,Baptisia,1,0,0,0,0,0
Baptisia_australis,1616,1266,740,982.02599009901,982,397.25,109,209.94059405940587,187,16.639584064483675,7.25624990463257,12.24752733760541,12.6416664123535,47.619248,29.761862,38.73029383972772,38.6416765,-90.899132,43.7471125,33.83600025,4,8,526,9.383334159851104,288.25,Baptisia,1,0,0,0,0,0
Baptisia_bracteata,1922,1415.8499999999997,791,1052.1123829344433,1014,391.9499999999998,84,183.73933402705495,150,20.395417308807364,7.49583339691162,14.736871312733866,14.8791666030884,45.594342,25.996922,35.90710697658689,36.006870500000005,-94.3790425,43.238605449999994,29.43653415,4,4,624.8499999999995,12.899583911895744,307.9499999999998,Baptisia,1,0,0,0,0,0
Baptisia_perfoliata,116,1300.25,1140.75,1203.3103448275865,1193,1653.75,60.75,263.77586206896547,96.5,21.962500572204576,17.110415935516325,18.450107763553486,18.1625003814697,34.76667,27.963155,32.282456663793106,32.5808765,-81.770398,33.550152749999995,28.55745025,2,5,159.5,4.85208463668825,1593,Baptisia,1,0,0,0,0,0
Baptisia_tinctoria,1180,1461.2999999999995,974,1165.0635593220338,1156,604,106.95,308.89322033898293,266,15.375624990463256,8.05000019073486,10.66276835021326,9.97083377838135,44.239343,31.913639,39.82913432627119,40.7434785,-76.47519349999999,42.46114925,35.162757400000004,3,4,487.2999999999997,7.325624799728395,497.05,Baptisia,1,0,0,0,0,0
Batesia_floribunda,77,3179.8,2170.8,2556.480519480519,2537,359.80000000000007,124.2,189.7532467532467,169,26.90000038146972,25.1666660308838,26.197023788055816,26.3541660308838,4.29056,-10.8339,-2.558905025974026,-2.315278,-62.293289,1.5247322000000008,-8.9784448,1,1,1009,1.7333343505859204,235.60000000000008,Batesia,0,1,0,0,0,0
Bauhinia_acreana,95,2460.6,1178.1,1876.1263157894737,1863,254.79999999999995,121.4,166.41052631578947,154,26.714999580383303,21.93458366394045,25.355877143458315,25.533332824707,-2.72,-14.580556,-8.444672829473685,-9.16667,-64.4975,-3.6051666000000018,-11.4838332,3,1,1282.5,4.7804159164428555,133.39999999999995,Bauhinia,0,1,0,0,0,0
Bauhinia_acuminata,179,3900.099999999999,765.9,2014.4916201117317,1644,352.79999999999995,92.9,191.48044692737432,185,28.284167098999053,21.303750610351553,26.181075421125527,26.9291667938232,30.747035,-14.49155,15.15398487150838,15.500837,79.987355,25.0915263,-0.4520836999999982,5,1,3134.1999999999994,6.980416488647499,259.9,Bauhinia,0,1,0,6,0,0
