species,n,precip_maxquant,precip_minquant,precip_mean,precip_median,nitro_maxquant,nitro_minquant,nitro_mean,nitro_median,temp_maxquant,temp_minquant,temp_mean,temp_median,max_lat,min_lat,mean_lat,median_lat,median_long,quant95,quant005,num_biome,biome,precip_range,temp_range,nitro_range,genus,fixer,woody,annual,uses_num_uses,Domatia,EFN
Trigonella_suavissima,666,422,133.25,258.2792792792794,240,148.25,27,57.692192192192195,45,23.98645830154415,16.689582824707024,21.016854362086846,21.127082824707053,-20.020278,-36.384167,-28.56587363963964,-29.045537500000002,139.819749,-23.4214105,-34.74845,5,13,288.75,7.296875476837126,121.25,Trigonella,1,0,1,0,0,0
Tripodion_tetraphyllum,3392,810,342,512.609375,476,238,110,164.01444575471703,158,18.220417118072515,13.54395861625672,16.03366253834288,16.21875,46.85055,24.6086227,38.7638870756191,38.96,-0.3,43.304073,33.2857157,5,12,468,4.6764585018157945,128,Tripodion,1,0,1,0,0,0
Tylosema_esculentum,99,732.9999999999999,317.5,499.33333333333337,452,116.19999999999999,47,72.86868686868686,61,23.29833354949953,16.59625034332273,20.139688453288993,20.2708339691162,-9.0853370000000009,-26.875,-22.100015292929292,-22.224945,20.913394,-18.031500000000005,-26.3457875,4,7,415.4999999999999,6.702083206176802,69.19999999999999,Tylosema,0,1,0,2,0,0
Ulex_europaeus,62915,1581,604,946.0220297226389,854,1004,166,394.37485496304964,311,13.9595829963684,7.47083330154419,10.486278246635772,10.1583337783813,60.763621,-54.872318,34.85809096954463,50.209648,-1.05519,57.32620059999999,-40.918087299999996,8,4,977,6.48874969482421,838,Ulex,1,1,0,6,0,0
Ulex_gallii,5959,1596.0999999999995,692,1130.7318342003678,1117,839,251,479.29954690384267,440,12.775416278839137,7.733333539962764,9.571515774922915,9.42500019073486,58.568154,36.8673,50.2348950960396,51.275772,-3.533749,54.241912400000004,42.99889956,3,4,904.0999999999995,5.042082738876372,588,Ulex,1,1,0,0,0,0
Uraria_crinita,383,3371.2,1243,2227.164490861619,2165,382.9,128,224.3394255874674,201,26.62749900817874,18.273749923706088,22.301599223682214,22.1083335876465,26.17,-8.116667,19.41147255091384,23.245898,120.519797,25.004568799999998,-6.5283052999999995,3,1,2128.2,8.353749084472653,254.89999999999998,Uraria,1,1,0,3,0,0
Uraria_lagopodioides,1491,2350,723.5,1283.1864520456065,1202,269,46,120.14688128772627,92,27.73750019073485,20.61041641235355,25.862502799107673,26.8916664123535,29.3,-28.865079,-10.164094042924212,-13.95777,132.36692,23.159291500000002,-18.943509,6,7,1626.5,7.127083778381298,223,Uraria,1,1,0,1,0,0
Uraria_picta,696,2115.75,857,1292.8879310344832,1123,300.5,64,159.04741379310354,133,27.6916675567627,21.917708396911625,25.774778482557714,26.44999980926515,29.316667,-27.498395,3.205365270114942,6.5550999999999995,2.5385999999999997,19,-18.910786,7,7,1258.75,5.773959159851074,236.5,Uraria,1,1,0,1,0,0
Uraria_rufescens,56,2706.75,995.75,1532.7857142857142,1402,371.25,115.25,204.1607142857143,188,26.825000286102274,17.514583587646474,23.543377910341537,24.3541660308838,32.42,9.64028,18.813854607142858,19.015,98.4743335,27.779167,10.39017,4,1,1711,9.3104166984558,256,Uraria,1,1,0,1,0,0
Vandasina_retusa,97,2785.199999999999,1293,1773.3092783505156,1691,207.59999999999985,81.19999999999999,142.91752577319588,132,26.99083251953122,23.600833511352498,25.593084178020046,25.8208332061768,-6.47889,-18.223458,-13.32220381443299,-14.433333,144.509436,-8.6413762,-17.0504266,2,7,1492.199999999999,3.389999008178723,126.39999999999986,Vandasina,1,1,0,1,0,0
